,cgpa,Critical Thinking,Problem Solving,Public Speaking,Professional Writing,Team Work,Leadership & Professional Attitude,Mass Communication,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
128,3,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,0,2,Job Security,Software Development
129,3,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,0,4,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Cyber Security,Data Analysis,ML/AI Engineer,Business,Other"
130,2.8,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Networking,Cyber Security"
131,3.42,2,1,2,2,2,1,1,2,2,2,1,3,2,2,2,1,1,1,1,7,8,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Data Analysis"
132,3.43,2,2,3,3,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1,0,4,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Data Analysis,Management,Business,Abroad"
133,3.5,2,3,1,3,2,2,1,2,2,3,2,3,3,3,2,2,3,2,1,0,5,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Gaming"
134,3.83,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,0,5,flaxible Work Life Balanced,Software Development
135,3.6,3,2,1,2,3,2,1,2,2,3,2,1,2,2,2,2,2,1,2,0,4,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Networking,Data Analysis,ML/AI Engineer,Teaching,Abroad"
136,3,3,3,1,1,3,3,2,2,3,2,3,1,1,1,1,0,2,0,2,0,2,Salary,"Software Development,Data Analysis,ML/AI Engineer,Business,Abroad"
137,3,2,1,2,2,1,1,1,0,2,2,1,1,2,2,0,1,1,0,0,0,0,"Social Acceptance,flaxible Work Life Balanced","Business,Govt Job"
138,3.25,2,2,2,1,1,2,1,2,3,3,1,2,1,2,2,1,1,1,1,0,2,"Job Environment,Salary","Software Development,Database Administration"
139,2.87,2,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,1,1,1,0,1,Social Acceptance,"Database Administration,Hardware Sector,Teaching,Bank Job,BCS,Govt Job"
140,3.82,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,0,1,"Job Security,Salary","Researcher,Abroad"
